entity_id,state,last_changed
sensor.co2_mh_z19_co2_value,455,2025-02-20T22:00:00.000Z
sensor.co2_mh_z19_co2_value,474,2025-02-20T22:00:46.161Z
sensor.co2_mh_z19_co2_value,497,2025-02-20T22:01:46.157Z
sensor.co2_mh_z19_co2_value,485,2025-02-20T22:02:46.161Z
sensor.co2_mh_z19_co2_value,473,2025-02-20T22:03:46.163Z
sensor.co2_mh_z19_co2_value,502,2025-02-20T22:04:46.159Z
sensor.co2_mh_z19_co2_value,506,2025-02-20T22:05:46.156Z
sensor.co2_mh_z19_co2_value,485,2025-02-20T22:06:46.155Z
sensor.co2_mh_z19_co2_value,506,2025-02-20T22:07:46.164Z
sensor.co2_mh_z19_co2_value,509,2025-02-20T22:08:46.161Z
sensor.co2_mh_z19_co2_value,522,2025-02-20T22:09:46.157Z
sensor.co2_mh_z19_co2_value,516,2025-02-20T22:10:46.160Z
sensor.co2_mh_z19_co2_value,568,2025-02-20T22:11:46.163Z
sensor.co2_mh_z19_co2_value,597,2025-02-20T22:12:46.161Z
sensor.co2_mh_z19_co2_value,605,2025-02-20T22:13:46.158Z
sensor.co2_mh_z19_co2_value,645,2025-02-20T22:14:46.160Z
sensor.co2_mh_z19_co2_value,644,2025-02-20T22:15:46.160Z
sensor.co2_mh_z19_co2_value,642,2025-02-20T22:16:46.449Z
sensor.co2_mh_z19_co2_value,646,2025-02-20T22:17:46.394Z
sensor.co2_mh_z19_co2_value,657,2025-02-20T22:18:46.159Z
sensor.co2_mh_z19_co2_value,650,2025-02-20T22:19:46.174Z
sensor.co2_mh_z19_co2_value,648,2025-02-20T22:20:46.162Z
sensor.co2_mh_z19_co2_value,649,2025-02-20T22:21:46.169Z
sensor.co2_mh_z19_co2_value,654,2025-02-20T22:22:46.163Z
sensor.co2_mh_z19_co2_value,660,2025-02-20T22:23:46.167Z
sensor.co2_mh_z19_co2_value,691,2025-02-20T22:24:46.172Z
sensor.co2_mh_z19_co2_value,714,2025-02-20T22:25:46.163Z
sensor.co2_mh_z19_co2_value,711,2025-02-20T22:26:46.174Z
sensor.co2_mh_z19_co2_value,738,2025-02-20T22:27:46.168Z
sensor.co2_mh_z19_co2_value,779,2025-02-20T22:28:46.175Z
sensor.co2_mh_z19_co2_value,790,2025-02-20T22:29:46.163Z
sensor.co2_mh_z19_co2_value,777,2025-02-20T22:30:46.170Z
sensor.co2_mh_z19_co2_value,768,2025-02-20T22:31:46.169Z
sensor.co2_mh_z19_co2_value,777,2025-02-20T22:32:46.168Z
sensor.co2_mh_z19_co2_value,782,2025-02-20T22:33:46.175Z
sensor.co2_mh_z19_co2_value,766,2025-02-20T22:34:46.167Z
sensor.co2_mh_z19_co2_value,763,2025-02-20T22:35:46.169Z
sensor.co2_mh_z19_co2_value,788,2025-02-20T22:36:46.172Z
sensor.co2_mh_z19_co2_value,767,2025-02-20T22:37:46.172Z
sensor.co2_mh_z19_co2_value,770,2025-02-20T22:38:46.170Z
sensor.co2_mh_z19_co2_value,824,2025-02-20T22:39:46.176Z
sensor.co2_mh_z19_co2_value,820,2025-02-20T22:40:46.173Z
sensor.co2_mh_z19_co2_value,816,2025-02-20T22:41:46.177Z
sensor.co2_mh_z19_co2_value,821,2025-02-20T22:42:46.173Z
sensor.co2_mh_z19_co2_value,816,2025-02-20T22:43:46.174Z
sensor.co2_mh_z19_co2_value,828,2025-02-20T22:44:46.176Z
sensor.co2_mh_z19_co2_value,824,2025-02-20T22:45:46.179Z
sensor.co2_mh_z19_co2_value,837,2025-02-20T22:46:46.175Z
sensor.co2_mh_z19_co2_value,851,2025-02-20T22:47:46.174Z
sensor.co2_mh_z19_co2_value,855,2025-02-20T22:48:46.176Z
sensor.co2_mh_z19_co2_value,842,2025-02-20T22:49:46.175Z
sensor.co2_mh_z19_co2_value,859,2025-02-20T22:50:46.175Z
sensor.co2_mh_z19_co2_value,872,2025-02-20T22:51:46.181Z
sensor.co2_mh_z19_co2_value,843,2025-02-20T22:52:46.180Z
